locale	currency	currency_format_type	number_format_length	currency_display	input	expected
af	USD	accounting		narrowSymbol	0.0	$0,00
af	USD	accounting		narrowSymbol	1.2	$1,20
af	USD	accounting		narrowSymbol	0.00831765	$0,01
af	USD	accounting		narrowSymbol	1234565.0	$1 234 565,00
af	USD	accounting		narrowSymbol	-1230.05	($1 230,05)
af	EUR	accounting		narrowSymbol	0.0	€0,00
af	EUR	accounting		narrowSymbol	1.2	€1,20
af	EUR	accounting		narrowSymbol	0.00831765	€0,01
af	EUR	accounting		narrowSymbol	1234565.0	€1 234 565,00
af	EUR	accounting		narrowSymbol	-1230.05	(€1 230,05)
af	JPY	accounting		narrowSymbol	0.0	¥0
af	JPY	accounting		narrowSymbol	1.2	¥1
af	JPY	accounting		narrowSymbol	0.00831765	¥0
af	JPY	accounting		narrowSymbol	1234565.0	¥1 234 565
af	JPY	accounting		narrowSymbol	-1230.05	(¥1 230)
af	RUB	accounting		narrowSymbol	0.0	₽0,00
af	RUB	accounting		narrowSymbol	1.2	₽1,20
af	RUB	accounting		narrowSymbol	0.00831765	₽0,01
af	RUB	accounting		narrowSymbol	1234565.0	₽1 234 565,00
af	RUB	accounting		narrowSymbol	-1230.05	(₽1 230,05)
af	EGP	accounting		narrowSymbol	0.0	E£0,00
af	EGP	accounting		narrowSymbol	1.2	E£1,20
af	EGP	accounting		narrowSymbol	0.00831765	E£0,01
af	EGP	accounting		narrowSymbol	1234565.0	E£1 234 565,00
af	EGP	accounting		narrowSymbol	-1230.05	(E£1 230,05)
am	USD	accounting		narrowSymbol	0.0	$0.00
am	USD	accounting		narrowSymbol	1.2	$1.20
am	USD	accounting		narrowSymbol	0.00831765	$0.01
am	USD	accounting		narrowSymbol	1234565.0	$1,234,565.00
am	USD	accounting		narrowSymbol	-1230.05	($1,230.05)
am	EUR	accounting		narrowSymbol	0.0	€0.00
am	EUR	accounting		narrowSymbol	1.2	€1.20
am	EUR	accounting		narrowSymbol	0.00831765	€0.01
am	EUR	accounting		narrowSymbol	1234565.0	€1,234,565.00
am	EUR	accounting		narrowSymbol	-1230.05	(€1,230.05)
am	JPY	accounting		narrowSymbol	0.0	¥0
am	JPY	accounting		narrowSymbol	1.2	¥1
am	JPY	accounting		narrowSymbol	0.00831765	¥0
am	JPY	accounting		narrowSymbol	1234565.0	¥1,234,565
am	JPY	accounting		narrowSymbol	-1230.05	(¥1,230)
am	RUB	accounting		narrowSymbol	0.0	₽0.00
am	RUB	accounting		narrowSymbol	1.2	₽1.20
am	RUB	accounting		narrowSymbol	0.00831765	₽0.01
am	RUB	accounting		narrowSymbol	1234565.0	₽1,234,565.00
am	RUB	accounting		narrowSymbol	-1230.05	(₽1,230.05)
am	EGP	accounting		narrowSymbol	0.0	E£0.00
am	EGP	accounting		narrowSymbol	1.2	E£1.20
am	EGP	accounting		narrowSymbol	0.00831765	E£0.01
am	EGP	accounting		narrowSymbol	1234565.0	E£1,234,565.00
am	EGP	accounting		narrowSymbol	-1230.05	(E£1,230.05)
as	USD	accounting		narrowSymbol	0.0	$০.০০
as	USD	accounting		narrowSymbol	1.2	$১.২০
as	USD	accounting		narrowSymbol	0.00831765	$০.০১
as	USD	accounting		narrowSymbol	1234565.0	$১,২৩৪,৫৬৫.০০
as	USD	accounting		narrowSymbol	-1230.05	($১,২৩০.০৫)
as	EUR	accounting		narrowSymbol	0.0	€০.০০
as	EUR	accounting		narrowSymbol	1.2	€১.২০
as	EUR	accounting		narrowSymbol	0.00831765	€০.০১
as	EUR	accounting		narrowSymbol	1234565.0	€১,২৩৪,৫৬৫.০০
as	EUR	accounting		narrowSymbol	-1230.05	(€১,২৩০.০৫)
as	JPY	accounting		narrowSymbol	0.0	¥০
as	JPY	accounting		narrowSymbol	1.2	¥১
as	JPY	accounting		narrowSymbol	0.00831765	¥০
as	JPY	accounting		narrowSymbol	1234565.0	¥১,২৩৪,৫৬৫
as	JPY	accounting		narrowSymbol	-1230.05	(¥১,২৩০)
as	RUB	accounting		narrowSymbol	0.0	₽০.০০
as	RUB	accounting		narrowSymbol	1.2	₽১.২০
as	RUB	accounting		narrowSymbol	0.00831765	₽০.০১
as	RUB	accounting		narrowSymbol	1234565.0	₽১,২৩৪,৫৬৫.০০
as	RUB	accounting		narrowSymbol	-1230.05	(₽১,২৩০.০৫)
as	EGP	accounting		narrowSymbol	0.0	E£০.০০
as	EGP	accounting		narrowSymbol	1.2	E£১.২০
as	EGP	accounting		narrowSymbol	0.00831765	E£০.০১
as	EGP	accounting		narrowSymbol	1234565.0	E£১,২৩৪,৫৬৫.০০
as	EGP	accounting		narrowSymbol	-1230.05	(E£১,২৩০.০৫)
az	USD	accounting		narrowSymbol	0.0	0,00 $
az	USD	accounting		narrowSymbol	1.2	1,20 $
az	USD	accounting		narrowSymbol	0.00831765	0,01 $
az	USD	accounting		narrowSymbol	1234565.0	1.234.565,00 $
az	USD	accounting		narrowSymbol	-1230.05	-1.230,05 $
az	EUR	accounting		narrowSymbol	0.0	0,00 €
az	EUR	accounting		narrowSymbol	1.2	1,20 €
az	EUR	accounting		narrowSymbol	0.00831765	0,01 €
az	EUR	accounting		narrowSymbol	1234565.0	1.234.565,00 €
az	EUR	accounting		narrowSymbol	-1230.05	-1.230,05 €
az	JPY	accounting		narrowSymbol	0.0	0 ¥
az	JPY	accounting		narrowSymbol	1.2	1 ¥
az	JPY	accounting		narrowSymbol	0.00831765	0 ¥
az	JPY	accounting		narrowSymbol	1234565.0	1.234.565 ¥
az	JPY	accounting		narrowSymbol	-1230.05	-1.230 ¥
az	RUB	accounting		narrowSymbol	0.0	0,00 ₽
az	RUB	accounting		narrowSymbol	1.2	1,20 ₽
az	RUB	accounting		narrowSymbol	0.00831765	0,01 ₽
az	RUB	accounting		narrowSymbol	1234565.0	1.234.565,00 ₽
az	RUB	accounting		narrowSymbol	-1230.05	-1.230,05 ₽
az	EGP	accounting		narrowSymbol	0.0	0,00 E£
az	EGP	accounting		narrowSymbol	1.2	1,20 E£
