locale	currency	currency_format_length	currency_display	input	expected
ar	AED	standard	narrowSymbol	0.0	‏0.00 د.إ.‏
ar	AED	standard	narrowSymbol	1.2	‏1.20 د.إ.‏
ar	AED	standard	narrowSymbol	0.00831765	‏0.01 د.إ.‏
ar	AED	standard	narrowSymbol	1234565.0	‏1,234,565.00 د.إ.‏
ar	AED	standard	narrowSymbol	-1230.05	‏‎-1,230.05 د.إ.‏
ar	AFN	standard	narrowSymbol	0.0	‏0 ؋
ar	AFN	standard	narrowSymbol	1.2	‏1 ؋
ar	AFN	standard	narrowSymbol	0.00831765	‏0 ؋
ar	AFN	standard	narrowSymbol	1234565.0	‏1,234,565 ؋
ar	AFN	standard	narrowSymbol	-1230.05	‏‎-1,230 ؋
ar	ALL	standard	narrowSymbol	0.0	‏0 ALL
ar	ALL	standard	narrowSymbol	1.2	‏1 ALL
ar	ALL	standard	narrowSymbol	0.00831765	‏0 ALL
ar	ALL	standard	narrowSymbol	1234565.0	‏1,234,565 ALL
ar	ALL	standard	narrowSymbol	-1230.05	‏‎-1,230 ALL
ar	AMD	standard	narrowSymbol	0.0	‏0.00 ֏
ar	AMD	standard	narrowSymbol	1.2	‏1.20 ֏
ar	AMD	standard	narrowSymbol	0.00831765	‏0.01 ֏
ar	AMD	standard	narrowSymbol	1234565.0	‏1,234,565.00 ֏
ar	AMD	standard	narrowSymbol	-1230.05	‏‎-1,230.05 ֏
ar	AOA	standard	narrowSymbol	0.0	‏0.00 Kz
ar	AOA	standard	narrowSymbol	1.2	‏1.20 Kz
ar	AOA	standard	narrowSymbol	0.00831765	‏0.01 Kz
ar	AOA	standard	narrowSymbol	1234565.0	‏1,234,565.00 Kz
ar	AOA	standard	narrowSymbol	-1230.05	‏‎-1,230.05 Kz
ar	ARS	standard	narrowSymbol	0.0	‏0.00 AR$
ar	ARS	standard	narrowSymbol	1.2	‏1.20 AR$
ar	ARS	standard	narrowSymbol	0.00831765	‏0.01 AR$
ar	ARS	standard	narrowSymbol	1234565.0	‏1,234,565.00 AR$
